iter	RMSE
0	13.66634532
1	13.23628001
2	12.82572651
3	12.44800404
4	12.06818499
5	11.67004063
6	11.27803423
7	10.93514556
8	10.60589511
9	10.25887749
10	9.925279852
11	9.626942895
12	9.321380353
13	9.006083318
14	8.731611096
15	8.455900405
16	8.179534875
17	7.916268114
18	7.700512077
19	7.457561436
20	7.218245718
21	6.994670258
22	6.76139972
23	6.56795752
24	6.348859915
25	6.153211815
26	5.970794189
27	5.778980563
28	5.611892965
29	5.446418003
30	5.286939826
31	5.120389204
32	4.966089483
33	4.8150032
34	4.665322526
35	4.519402899
36	4.379180899
37	4.248495742
38	4.124322965
39	4.002438497
40	3.881742222
41	3.760826202
42	3.657683903
43	3.555626896
44	3.447302052
45	3.350117768
46	3.253216979
47	3.165365355
48	3.08740806
49	3.004267858
50	2.927862427
51	2.839748776
52	2.755046872
53	2.679909056
54	2.605026197
55	2.533507801
56	2.463513784
57	2.397475451
58	2.330817951
59	2.26661748
60	2.202817957
61	2.144327152
62	2.084689958
63	2.03021865
64	1.980510022
65	1.932998406
66	1.888400862
67	1.83899003
68	1.789820542
69	1.745685725
70	1.702548559
71	1.664089458
72	1.620143187
73	1.585222979
74	1.545208987
75	1.513998664
76	1.482584023
77	1.448217911
78	1.411684665
79	1.381175477
80	1.350383863
81	1.321479202
82	1.291738746
83	1.261345102
84	1.232740926
85	1.205720384
86	1.179000822
87	1.154148441
88	1.133494605
89	1.108838891
90	1.085150963
91	1.063884287
92	1.042100409
93	1.020158879
94	1.000343348
95	0.9832453452
96	0.9633810092
97	0.9452741022
98	0.9266822004
99	0.9099782581
100	0.8959797211
101	0.8787745929
102	0.8651294691
103	0.8510210391
104	0.8395276261
105	0.8259936399
106	0.812905894
107	0.799065434
108	0.7867822883
109	0.7745298477
110	0.7645035071
111	0.7534806677
112	0.7432148173
113	0.7343878313
114	0.7238784167
115	0.7136522542
116	0.7037969124
117	0.6962243565
118	0.6882721317
119	0.6795859273
120	0.6709358915
121	0.6639896535
122	0.6575662092
123	0.6529159153
124	0.646089604
125	0.639179143
126	0.6332249784
127	0.6272829483
128	0.6206654133
129	0.6147725156
130	0.6092921662
131	0.603213518
132	0.5980892827
133	0.5927047298
134	0.5876597093
135	0.5825803976
136	0.5784720696
137	0.5735940908
138	0.5689015266
139	0.5648023774
140	0.5607185845
141	0.5557564501
142	0.5513924896
143	0.5498481756
144	0.545994508
145	0.5431375095
146	0.5409327496
147	0.5391411887
148	0.5377337698
149	0.5346507325
150	0.5332800751
151	0.5295841562
152	0.5259235177
153	0.5246195686
154	0.5231791134
155	0.5217840711
156	0.5176479515
157	0.5142165852
158	0.5129198863
159	0.5113016787
160	0.5100430274
161	0.5089085714
162	0.5076968822
163	0.5050088608
164	0.5039329028
165	0.5018621949
166	0.500251488
167	0.4971833119
168	0.4962188919
169	0.4945594902
170	0.492321697
171	0.4894765382
172	0.4883514747
173	0.487510219
174	0.486598878
175	0.4849274649
176	0.4823379184
177	0.4800539122
178	0.4774192299
179	0.4762752102
180	0.4751258746
181	0.4742550077
182	0.4716447118
183	0.4703502784
184	0.4693888343
185	0.4682840662
186	0.465411686
187	0.464563226
188	0.4638752509
189	0.4632829655
190	0.4626537022
191	0.4619778666
192	0.4593012595
193	0.4586647158
194	0.4580438899
195	0.4562360151
196	0.4556696329
197	0.4546543074
198	0.4535734254
199	0.4525526133
200	0.4516341928
201	0.4510835917
202	0.4490306899
203	0.448306148
204	0.4473862864
205	0.4441256551
206	0.441534838
207	0.4408507632
208	0.4402727575
209	0.438195369
210	0.4355855253
211	0.4350557006
212	0.4346389093
213	0.4341184741
214	0.4332427482
215	0.4327554778
216	0.4323460616
217	0.4315587585
218	0.431146126
219	0.4288578038
220	0.4283186353
221	0.4259624612
222	0.424062409
223	0.4232471916
224	0.422912767
225	0.4225213613
226	0.4195419071
227	0.418158554
228	0.4155030247
229	0.4135633713
230	0.4117535063
231	0.411396489
232	0.4098978611
233	0.4095550508
234	0.4092350107
235	0.4082559488
236	0.405731859
237	0.4041423476
238	0.4038349885
239	0.4025247339
240	0.4022436527
241	0.401986087
242	0.4015206242
243	0.4012545621
244	0.3997714982
245	0.3987169878
246	0.3968984303
247	0.3961728118
248	0.3959510606
249	0.3946542239
250	0.3932605146
251	0.3925981863
252	0.3921979823
253	0.390610237
254	0.3896487829
255	0.3892736784
256	0.3890730448
257	0.3887388919
258	0.3873625561
259	0.3864068564
260	0.3851908947
261	0.3848595607
262	0.3843661709
263	0.3841838237
264	0.3830315996
265	0.3828605629
266	0.3815693202
267	0.3814226945
268	0.3800473892
269	0.3794034861
270	0.3792424846
271	0.378576535
272	0.3784268779
273	0.3782667032
274	0.3768319319
275	0.3759021756
276	0.3757606444
277	0.374789226
278	0.3742192429
279	0.3739431882
280	0.3736273827
281	0.3727159974
282	0.3708252276
283	0.3706895291
284	0.3699077717
285	0.3686459243
286	0.3685171922
287	0.3672574163
288	0.3659993019
289	0.3658767059
290	0.3657570402
291	0.3656402311
292	0.3655262066
293	0.3646586815
294	0.3645484942
295	0.3638383756
296	0.363732437
297	0.3630609973
298	0.3624965568
299	0.3613836101
300	0.3611336205
301	0.3596723233
302	0.3588971781
303	0.3582942776
304	0.3572225661
305	0.356574456
306	0.3564821465
307	0.3549421439
308	0.3542549485
309	0.3533922773
310	0.352327237
311	0.3517291078
312	0.3516435106
313	0.3506241064
314	0.3503617206
315	0.3493073816
316	0.3483587801
317	0.3470041038
318	0.3459773742
319	0.3452693855
320	0.3442910464
321	0.3433776098
322	0.3428065804
323	0.3427325635
324	0.3414644485
325	0.3413930066
326	0.3404508168
327	0.3396089553
328	0.3395416346
329	0.3387219179
330	0.3381941482
331	0.3367263844
332	0.336111566
333	0.3360497279
334	0.3356033159
335	0.3348379647
336	0.334779182
337	0.3337258061
338	0.3332563849
339	0.3327097595
340	0.3318678469
341	0.3309966759
342	0.3303386873
343	0.329391599
344	0.3284915111
345	0.3271436066
346	0.3270941431
347	0.3265244397
348	0.3252223312
349	0.3251749521
350	0.324236175
351	0.3236905307
352	0.3232714119
353	0.3223285112
354	0.3216745798
355	0.3210965625
356	0.3207330755
357	0.3199963127
358	0.318989467
359	0.3181610119
360	0.3175406176
361	0.3169377317
362	0.3164567682
363	0.3159914396
364	0.315311329
365	0.314850391
366	0.3140164859
367	0.3128582211
368	0.3119537482
369	0.3112245299
370	0.3103824343
371	0.3096408321
372	0.3088067425
373	0.3081894239
374	0.307029874
375	0.306669555
376	0.3059230505
377	0.3054873166
378	0.3050275864
379	0.3046330146
380	0.3038598478
381	0.3028344514
382	0.3018341468
383	0.3014163964
384	0.3010013966
385	0.3004065806
386	0.2998556511
387	0.2991183843
388	0.2987335049
389	0.2981785166
390	0.297695732
391	0.2970096802
392	0.2961557258
393	0.2953070215
394	0.29499844
395	0.2942159485
396	0.2935056084
397	0.2930424048
398	0.2927381116
399	0.2918868681
400	0.2916799933
401	0.2913763973
402	0.2910811289
403	0.2907573479
404	0.2899124527
405	0.2894990725
406	0.2887867529
407	0.2881256901
408	0.28783929
409	0.2871933445
410	0.2866488499
411	0.2862259
412	0.2858700058
413	0.285570456
414	0.284736881
415	0.2840644732
416	0.2833820619
417	0.2828824663
418	0.2825437342
419	0.2818199278
420	0.2814669412
421	0.2805914696
422	0.279900696
423	0.2797830838
424	0.279150755
425	0.2782590216
426	0.2777624087
427	0.276993726
428	0.2762586754
429	0.2754512568
430	0.275191319
431	0.274424521
432	0.2741712044
433	0.2739241629
434	0.2733920746
435	0.2729047329
436	0.2720830384
437	0.2715434378
438	0.2711609911
439	0.2705749087
440	0.2699633488
441	0.269604198
442	0.2689539313
443	0.2685077264
444	0.2678142518
445	0.2673220859
446	0.2666889502
447	0.2664687174
448	0.2661375015
449	0.2655783779
450	0.2654714393
451	0.2648852039
452	0.2642281989
453	0.2639942185
454	0.2634726705
455	0.2630844305
456	0.2623632097
457	0.2617782302
458	0.2612031803
459	0.2606569542
460	0.2601996592
461	0.2597718055
462	0.2591306102
463	0.2585233047
464	0.2581907991
465	0.2575863174
466	0.2569884591
467	0.2563692398
468	0.2558097973
469	0.2551994095
470	0.2548431075
471	0.2543650701
472	0.2540541201
473	0.253472834
474	0.2530215288
475	0.2524981123
476	0.2518638332
477	0.2516286695
478	0.2512290032
479	0.2504692394
480	0.2502658132
481	0.2500949527
482	0.2498738923
483	0.2492794239
484	0.2490630547
485	0.248432663
486	0.2481202085
487	0.2475391684
488	0.2468546364
489	0.2466774302
490	0.2461139091
491	0.2458010172
492	0.245570239
493	0.2454404883
494	0.244917451
495	0.2443991806
496	0.2437497358
497	0.2432467092
498	0.2430053614
499	0.2426135677
500	0.2421149615
501	0.2416672197
502	0.2409555277
503	0.2407629311
504	0.2402703562
505	0.2397644601
506	0.2392606517
507	0.2385968479
508	0.2383557801
509	0.2380904317
510	0.237627615
511	0.2370646876
512	0.2367373787
513	0.2362550933
514	0.2358394119
515	0.2355268487
516	0.2351322208
517	0.2345679876
518	0.2343789018
519	0.2339911883
520	0.2335913761
521	0.2331210648
522	0.2329013767
523	0.2328285821
524	0.2322414581
525	0.2317964091
526	0.2313213854
527	0.2307951213
528	0.2303361566
529	0.2298474091
530	0.229676401
531	0.2292641335
532	0.2288388502
533	0.228566376
534	0.2281823589
535	0.2277452045
536	0.2274321038
537	0.2269981805
538	0.2266521347
539	0.22622341
540	0.2258350578
541	0.2256262333
542	0.2250916474
543	0.2246195772
544	0.2244704755
545	0.2240643832
546	0.2235563357
547	0.2229972782
548	0.2224244928
549	0.2221281081
550	0.2218288334
551	0.2216591999
552	0.2213898376
553	0.2209774716
554	0.220800635
555	0.2203196692
556	0.220124565
557	0.2200069098
558	0.2194736049
559	0.2189873755
560	0.2188244738
561	0.2185297418
562	0.2182562951
563	0.2178891804
564	0.2177016641
565	0.2173883522
566	0.2170872391
567	0.2167877556
568	0.216678452
569	0.2164966882
570	0.2162982356
571	0.21606915
572	0.2156424127
573	0.2154811467
574	0.2153078343
575	0.214873719
576	0.2145634255
577	0.2140782728
578	0.2137721339
579	0.2133274518
580	0.2131267573
581	0.2127735741
582	0.2123258315
583	0.211997605
584	0.2115011932
585	0.2111745351
586	0.2108353603
587	0.210412776
588	0.2099898248
589	0.2095401802
590	0.2092409145
591	0.2089266969
592	0.2087116905
593	0.2082562192
594	0.2080894567
595	0.2078121147
596	0.2073994501
597	0.2072576559
598	0.2069668455
599	0.2065380751
600	0.2061938828
601	0.2059181611
602	0.2055514664
603	0.2050939943
604	0.2047674959
605	0.2045115182
606	0.2041193735
607	0.2036919841
608	0.2034371974
609	0.2032583295
610	0.202888401
611	0.2025539578
612	0.2022345203
613	0.2021280794
614	0.2018504297
615	0.2016371952
616	0.2012554448
617	0.200902874
618	0.2006581928
619	0.2003060212
620	0.1998644398
621	0.1994964785
622	0.1993837427
623	0.1990980708
624	0.1989164702
625	0.1986384572
626	0.1984447679
627	0.1982393117
628	0.197903253
629	0.1975503709
630	0.197103348
631	0.1967829023
632	0.1963793011
633	0.1960661994
634	0.1959730506
635	0.1958923704
636	0.1954656233
637	0.1951276916
638	0.1947553594
639	0.1943606571
640	0.1942099431
641	0.1940371263
642	0.1937764429
643	0.1934261617
644	0.1933335268
645	0.1929927056
646	0.1926785649
647	0.1923577835
648	0.1920749405
649	0.1918040479
650	0.1915870814
651	0.1913551082
652	0.1910229807
653	0.1907155044
654	0.1904168133
655	0.1900445578
656	0.1897640671
657	0.1894910637
658	0.1892172136
659	0.1890342589
660	0.1887569353
661	0.1884214912
662	0.1881055874
663	0.1878396724
664	0.1874638595
665	0.1871993107
666	0.1870466449
667	0.1867341014
668	0.1863854398
669	0.1860861813
670	0.1858028513
