iter	Passed	Remaining
0	16	16495
1	18	9308
2	20	6815
3	22	5578
4	26	5249
5	28	4723
6	30	4314
7	32	4012
8	34	3766
9	36	3570
10	37	3406
11	41	3449
12	44	3345
13	46	3254
14	48	3162
15	49	3071
16	51	2995
17	55	3017
18	57	2961
19	59	2901
20	61	2844
21	62	2792
22	64	2749
23	66	2706
24	69	2724
25	72	2706
26	74	2673
27	76	2640
28	77	2609
29	79	2580
30	81	2552
31	84	2559
32	86	2543
33	88	2520
34	91	2510
35	93	2500
36	95	2487
37	97	2473
38	100	2484
39	102	2466
40	104	2448
41	106	2439
42	108	2422
43	110	2407
44	113	2416
45	115	2405
46	119	2414
47	121	2403
48	123	2391
49	125	2379
50	129	2411
51	133	2437
52	138	2476
53	141	2470
54	148	2550
55	152	2573
56	155	2569
57	158	2569
58	160	2565
59	162	2551
60	164	2537
61	167	2533
62	169	2525
63	177	2591
64	180	2599
65	183	2594
66	185	2577
67	190	2606
68	193	2610
69	197	2629
70	206	2699
71	208	2689
72	210	2676
73	212	2662
74	214	2648
75	226	2749
76	229	2746
77	231	2741
78	236	2752
79	238	2739
80	240	2727
81	242	2714
82	244	2701
83	246	2687
84	254	2738
85	256	2729
86	259	2722
87	262	2724
88	268	2743
89	270	2735
90	272	2720
91	274	2706
92	276	2692
93	278	2679
94	282	2688
95	284	2676
96	286	2663
97	287	2649
98	289	2636
99	291	2624
100	293	2613
101	297	2616
102	299	2606
103	301	2594
104	303	2583
105	304	2571
106	306	2559
107	308	2551
108	311	2544
109	313	2534
110	316	2534
111	319	2535
112	321	2525
113	324	2521
114	326	2512
115	328	2505
116	330	2495
117	332	2485
118	334	2474
119	336	2465
120	338	2462
121	341	2457
122	343	2447
123	345	2438
124	347	2429
125	348	2419
126	350	2410
127	354	2415
128	356	2407
129	358	2398
130	360	2389
131	362	2381
132	363	2372
133	365	2363
134	371	2379
135	373	2375
136	375	2368
137	378	2362
138	380	2356
139	383	2357
140	386	2352
141	387	2343
142	389	2335
143	391	2324
144	392	2316
145	394	2308
146	396	2301
147	398	2296
148	400	2289
149	403	2286
150	405	2281
151	407	2275
152	409	2268
153	412	2267
154	414	2260
155	416	2253
156	418	2245
157	420	2238
158	421	2231
159	423	2224
160	425	2219
161	427	2212
162	429	2207
163	431	2200
164	432	2190
165	434	2184
166	436	2177
167	438	2171
168	441	2169
169	443	2164
170	445	2158
171	447	2152
172	449	2146
173	450	2138
174	452	2132
175	454	2126
176	457	2126
177	459	2120
